Menu.name,Menu.image,Menu.categories,Menu.description,Menu.price,Menu.new,Menu.recommend,Menu.openSpot
Stuffed Artichokes,image/appe1.jpg,appetizer,"Stuffed with ricotta, garlic, and all sorts of other deliciousness, these Stuffed Artichokes are a fun and tasty appetizer. Serve these at your next dinner party, and you are sure to receive rave reviews. As a bonus, the artichokes are full of nutrients",7,FALSE,FALSE,FALSE
Jalapeno Popper Wontons,image/appe2.jpg,appetizer,"With a filling that can be made ahead of time and a quick fry time, these jalapeno popper wontons are a quick and easy appetizer. A great finger food as well, these poppers are perfect for parties and game days. Also, if you enjoy a little spice, these wontons are an ideal fit.",10,FALSE,FALSE,FALSE
Hot Ham and Cheese Party Rolls,image/appe3.jpg,appetizer,"Perfect for sharing (or hoarding for yourself!), these hot ham and cheese party rolls are one of the best appetizers and are delicious perfection. The ham, cheese, and pizza dough combine in the oven for a melty, yet crispy ensemble. Best of all, this sandwich recipe, complete with the glaze, can be assembled ahead of time and then baked later.",12,FALSE,FALSE,FALSE
Meatball Stuffed Buns,image/appe4.jpg,appetizer,"A spin on the traditional meatball, these meatball stuffed buns are warm and filling. For down-home comfort, these stuffed buns are a great choice. Trust us – your entire family will be thanking you for making this appetizer.",8,FALSE,FALSE,FALSE
Sweet Potato Bites,image/appe5.jpg,appetizer,"Comprised of just a few simple ingredients, these sweet potato bites with avocado and bacon are a healthier appetizer. The sweet potatoes are thinly sliced and baked into chips and then topped with guacamole and crisp bacon. For a more refined approach to finger foods, this may be one of the best appetizers for you.",7,FALSE,FALSE,FALSE
Honey Garlic Chicken Skewers,image/appe6.jpg,appetizer,"Coated in a tasty marinade of honey, soy sauce, vinegar, ginger, and garlic, these skewers are full of flavor. You also have the option of either baking or grilling them as well. If you are looking for a more substantial appetizer, this is the perfect option.",11,FALSE,FALSE,FALSE
Garlic Herb Roasted Shrimp,image/appe7.jpg,appetizer,"Paired with a homemade cocktail sauce, this garlic-herb roasted shrimp is a step up from the usual cocktail shrimp appetizer. And, with just a 10 minute start to finish prep and cook time, this is an appetizer that is ready in no time flat. Try this recipe next time you have some fresh shrimp on hand.",12,TRUE,FALSE,FALSE
Parmesan Crusted Tortellini Bites,image/appe8.jpg,appetizer,"Fried food is almost always delicious and a crowd favorite. These fried parmesan-crusted tortellini bites take it to the next level, though. They consist of delicious bite-sized tortellini that is filled with cheese, fried, and then dipped in marinara.",8,FALSE,TRUE,FALSE
Blackened Shrimp Avocado Cucumber Bites,image/appe9.jpg,appetizer,"The shrimp are seasoned and seared in a cast-iron pan, and then placed on cucumber slices covered in creamy avocado. A link to a tasty remoulade sauce is also included with this recipe.",8,TRUE,FALSE,FALSE
Crescent Sausage Bites,image/appe10.jpg,appetizer,"Fry up some ground sausage, fold in some cream cheese, and then sandwich between two layers of crescent rolls.",8,FALSE,TRUE,FALSE
Bacon Crackers,image/appe11.jpg,appetizer,"With butter crackers as the base and then a thick layer of candied bacon, this is the perfect finger food appetizer for bacon lovers everywhere.",10,TRUE,FALSE,FALSE
Firecracker Chicken Meatballs,image/appe12.jpg,appetizer,"Sweet, savory, and spicy, these firecracker chicken meatballs are one of the best appetizers and sure to impress.",8,FALSE,TRUE,FALSE
Loaded Queso Fundido,image/appe13.jpg,appetizer,"“Mexican fondue,” this queso has a ton of flavor and is perfect for dipping chips, crackers, and bread.",7,TRUE,FALSE,FALSE
Bacon Double Cheeseburger Dip,image/appe14.jpg,appetizer,Allow you to experience all the yummy goodness of a bacon cheeseburger in dip form! Perfect for chilly nights,9,FALSE,TRUE,FALSE
Mac and Cheese Bites,image/appe15.jpg,appetizer,"Mac and cheese bites are a great finger food to serve, If you love it, you should try it.",9,FALSE,FALSE,FALSE
"Watermelon, Olive and Feta Salad",image/salad1.jpg,salad,"The perfect summer salad of melon, olives and feta cheese with toasted pumpkin seeds.",9.5,FALSE,FALSE,TRUE
Carrot Salad with Black Grape Dressing,image/salad2.jpg,salad,"Why buy salad dressings that are full of preservatives, when you can easily make them at home! A quick carrot salad with a freshly made black grape dressing.",9.5,TRUE,FALSE,TRUE
